timestamp,frame_id,EAR,MAR,blink_state,blink_count,blink_dur_avg,yawn_count,ear_confidence,landmarks_detected,drowsiness_score,system_state,PERCLOS,yawn_rate,nod_count,head_pitch,head_yaw,head_roll,gaze_h,gaze_v,distraction_flag,gaze_distraction,hand_detected,hand_count,object_in_hand,face_rejected,alert_fired,schedule_level
10.991,1,0.3107,0.3372,open,0,0.0,0,1.0,True,0.0,ALERT,0.0,0.0,0,-10.41,2.86,1.1,0.517,0.488,False,False,False,0,False,False,True,RELAXED
11.08,2,0.2936,0.3652,open,0,0.0,0,1.0,True,0.0,ALERT,0.0,0.0,0,-9.25,3.02,1.33,0.525,0.501,False,False,False,0,False,False,False,RELAXED
11.121,3,0.3145,0.3537,open,0,0.0,0,1.0,True,0.0,ALERT,0.0,0.0,0,-8.32,4.23,1.36,0.516,0.517,False,False,False,0,False,False,False,RELAXED
11.173,4,0.3116,0.3861,open,0,0.0,0,1.0,True,0.0,ALERT,0.0,0.0,0,-7.74,6.49,1.47,0.575,0.547,False,False,False,0,False,False,False,RELAXED
11.264,5,0.1787,0.4054,closed,0,0.0,0,1.0,True,0.0,ALERT,0.0,0.0,0,-8.43,7.24,1.34,0.599,0.634,False,False,False,0,False,False,False,RELAXED
11.383,6,0.2404,0.3262,open,1,0.119,0,1.0,True,0.0,ALERT,0.1953,0.0,0,-8.05,7.15,1.16,0.638,0.613,False,False,False,0,False,False,False,ATTENTIVE
11.433,7,0.2675,0.3529,open,1,0.119,0,1.0,True,0.0,ALERT,0.1803,0.0,0,-7.4,5.04,1.16,0.612,0.601,False,False,False,0,False,False,False,ATTENTIVE
11.482,8,0.2879,0.3243,open,1,0.119,0,1.0,True,0.0,ALERT,0.1677,0.0,0,-7.63,6.39,1.38,0.607,0.567,False,False,False,0,False,False,False,ATTENTIVE
11.53,9,0.2802,0.3303,open,1,0.119,0,1.0,True,0.0,ALERT,0.1565,0.0,0,-7.99,8.21,1.21,0.612,0.538,False,False,False,0,False,False,False,ATTENTIVE
11.598,10,0.3079,0.3357,open,1,0.119,0,1.0,True,0.0,ALERT,0.1433,0.0,0,-7.48,7.97,1.17,0.632,0.54,False,False,False,0,False,False,False,ATTENTIVE
11.681,11,0.3067,0.3676,open,1,0.119,0,1.0,True,0.0,ALERT,0.131,0.0,0,-7.7,7.12,1.23,0.624,0.562,False,False,False,0,False,False,False,ATTENTIVE
11.724,12,0.3234,0.3624,open,1,0.119,0,1.0,True,0.0,ALERT,0.1243,0.0,0,-7.92,5.37,1.43,0.644,0.581,False,False,False,0,False,False,False,ATTENTIVE
11.796,13,0.313,0.3266,open,1,0.119,0,1.0,True,0.0,ALERT,0.1159,0.0,0,-7.27,2.8,1.41,0.608,0.571,False,False,False,0,False,False,False,ATTENTIVE
11.875,14,0.3239,0.3601,open,1,0.119,0,1.0,True,0.0,ALERT,0.108,0.0,0,-7.65,0.98,1.71,0.568,0.562,False,False,False,0,False,False,False,ATTENTIVE
11.924,15,0.3054,0.3797,open,1,0.119,0,1.0,True,0.0,ALERT,0.103,0.0,0,-8.01,0.89,1.78,0.547,0.554,False,False,False,0,False,False,False,ATTENTIVE
11.996,16,0.3281,0.3972,open,1,0.119,0,1.0,True,0.0,ALERT,0.0968,0.0,0,-8.04,5.2,1.49,0.581,0.579,False,False,False,0,False,False,False,ATTENTIVE
12.082,17,0.2876,0.3149,open,1,0.119,0,1.0,True,0.0,ALERT,0.0908,0.0,0,-7.52,5.85,1.33,0.605,0.593,False,False,False,0,False,False,False,ATTENTIVE
12.129,18,0.312,0.3384,open,1,0.119,0,1.0,True,0.0,ALERT,0.0874,0.0,0,-7.47,4.84,1.37,0.607,0.606,False,False,False,0,False,False,False,ATTENTIVE
12.193,19,0.3033,0.3171,open,1,0.119,0,1.0,True,0.0,ALERT,0.0832,0.0,0,-6.95,5.76,1.09,0.605,0.591,False,False,False,0,False,False,False,ATTENTIVE
12.272,20,0.3363,0.3624,open,1,0.119,0,1.0,True,0.0,ALERT,0.0791,0.0,0,-7.92,7.42,1.05,0.611,0.593,False,False,False,0,False,False,False,ATTENTIVE
12.337,21,0.3296,0.3545,open,1,0.119,0,1.0,True,0.0,ALERT,0.0764,0.0,0,-8.35,8.82,1.06,0.618,0.603,False,False,False,0,False,False,False,ATTENTIVE
12.429,22,0.3017,0.3227,open,1,0.119,0,1.0,True,0.0,ALERT,0.0718,0.0,0,-7.59,9.86,1.37,0.644,0.599,False,False,False,0,False,False,False,ATTENTIVE
12.483,23,0.288,0.3585,open,1,0.119,0,1.0,True,0.0,ALERT,0.0694,0.0,0,-5.94,11.51,1.22,0.653,0.579,False,False,False,0,False,False,False,ATTENTIVE
12.541,24,0.285,0.3848,open,1,0.119,0,1.0,True,0.0,ALERT,0.0673,0.0,0,-5.51,12.34,0.93,0.644,0.544,False,False,False,0,False,False,False,ATTENTIVE
12.642,25,0.301,0.3579,open,1,0.119,0,1.0,True,0.0,ALERT,0.0636,0.0,0,-5.65,11.85,0.71,0.635,0.55,False,False,False,0,False,False,False,ATTENTIVE
12.697,26,0.3046,0.3169,open,1,0.119,0,1.0,True,0.0,ALERT,0.0617,0.0,0,-5.66,10.76,0.61,0.626,0.569,False,False,False,0,False,False,False,ATTENTIVE
12.754,27,0.2858,0.3138,open,1,0.119,0,1.0,True,0.0,ALERT,0.0599,0.0,0,-5.54,9.24,0.77,0.608,0.585,False,False,False,0,False,False,False,ATTENTIVE
12.837,28,0.2694,0.3965,open,1,0.119,0,1.0,True,0.0,ALERT,0.0575,0.0,0,-5.91,8.03,0.79,0.62,0.543,False,False,False,0,False,False,False,ATTENTIVE
12.891,29,0.2857,0.2836,open,1,0.119,0,1.0,True,0.0,ALERT,0.056,0.0,0,-6.29,5.98,1.04,0.572,0.524,False,False,False,0,False,False,False,ATTENTIVE
12.954,30,0.2867,0.2642,open,1,0.119,0,1.0,True,0.0,ALERT,0.0544,0.0,0,-5.77,5.11,1.17,0.541,0.499,False,False,False,0,False,False,False,ATTENTIVE
13.036,31,0.2816,0.3444,open,1,0.119,0,1.0,True,0.0,ALERT,0.0524,0.0,0,-5.85,5.5,1.04,0.53,0.511,False,False,False,0,False,False,False,ATTENTIVE
13.091,32,0.3134,0.357,open,1,0.119,0,1.0,True,0.0,ALERT,0.0511,0.0,0,-6.11,7.74,0.91,0.553,0.526,False,False,False,0,False,False,False,ATTENTIVE
13.142,33,0.3082,0.3462,open,1,0.119,0,1.0,True,0.0,ALERT,0.05,0.0,0,-6.17,9.47,0.9,0.576,0.537,False,False,False,0,False,False,False,ATTENTIVE
13.222,34,0.3157,0.3478,open,1,0.119,0,1.0,True,0.0,ALERT,0.0484,0.0,0,-6.46,7.37,0.94,0.571,0.524,False,False,False,0,False,False,False,ATTENTIVE
13.285,35,0.3136,0.3496,open,1,0.119,0,1.0,True,0.0,ALERT,0.0472,0.0,0,-6.34,8.01,1.02,0.578,0.518,False,False,False,0,False,False,False,ATTENTIVE
13.341,36,0.3152,0.3486,open,1,0.119,0,1.0,True,0.0,ALERT,0.0462,0.0,0,-6.46,9.05,1.02,0.604,0.52,False,False,False,0,False,False,False,ATTENTIVE
13.427,37,0.3399,0.4021,open,1,0.119,0,1.0,True,0.0,ALERT,0.0447,0.0,0,-5.46,8.69,1.33,0.59,0.522,False,False,False,0,False,False,False,ATTENTIVE
13.482,38,0.3275,0.3836,open,1,0.119,0,1.0,True,0.0,ALERT,0.0438,0.0,0,-5.03,10.02,1.6,0.621,0.518,False,False,False,0,False,False,False,ATTENTIVE
13.537,39,0.3343,0.3847,open,1,0.119,0,1.0,True,0.0,ALERT,0.0429,0.0,0,-4.78,9.03,1.83,0.634,0.518,False,False,False,0,False,False,False,ATTENTIVE
13.616,40,0.331,0.3915,open,1,0.119,0,1.0,True,0.0,ALERT,0.0417,0.0,0,-5.54,9.13,1.42,0.622,0.523,False,False,False,0,False,False,False,ATTENTIVE
